"team_roster_id","team_id","position_id","valid_from","valid_until","player_id","position_type_id","tournament"
42431,"57ec08cc-0411-4643-b304-0e80dbc15ac7",17,"2021-07-04 18:01:18.926707","2021-07-23 10:28:58.282108","a815ba94-d521-4400-9341-8cc4cc53aec2","4",-1
42432,"57ec08cc-0411-4643-b304-0e80dbc15ac7",18,"2021-07-04 18:01:18.926707","2021-07-23 10:28:58.282108","1675a7c5-e7ea-4bbc-9e33-0df22a838612","4",-1
43401,"adc5b394-8f76-416d-9ce9-813706877b84",2,"2021-07-23 01:40:58.574264","2021-07-23 10:33:28.936757","7aeb8e0b-f6fb-4a9e-bba2-335dada5f0a3","1",-1
43228,"9debc64f-74b7-4ae1-a4d6-fce0144b6ea5",0,"2021-07-21 22:28:14.709076","2021-07-23 11:22:11.639185","cc933b79-9218-4693-8172-f23d4eaccdf7","1",-1
43247,"9debc64f-74b7-4ae1-a4d6-fce0144b6ea5",6,"2021-07-22 07:35:02.283709","2021-07-23 11:22:11.639185","fcb08e4f-df3a-446c-ab50-58a496ac5f3f","4",-1
43483,"46358869-dce9-4a01-bfba-ac24fc56f57e",3,"2021-07-23 10:33:28.936757","2021-07-23 11:29:47.671081","7aeb8e0b-f6fb-4a9e-bba2-335dada5f0a3","1",-1
43467,"46358869-dce9-4a01-bfba-ac24fc56f57e",17,"2021-07-23 10:12:55.908307","2021-07-23 11:29:47.671081","266abcc0-8abc-4570-b32e-e5668e5d38f3","4",-1
43790,"698cfc6d-e95e-4391-b754-b87337e4d2a9",23,"2021-07-25 00:27:39.550091",NULL,"a9624b16-599a-4aff-bdfd-bff91cadf377","4",-1
43452,"747b8e4a-7e50-4638-a973-ea7950a3e739",1,"2021-07-23 08:20:24.090304","2021-07-29 12:16:43.512767","37061380-ac95-4018-854e-c308073945e9","1",-1
43469,"57ec08cc-0411-4643-b304-0e80dbc15ac7",4,"2021-07-23 10:28:58.282108","2021-07-30 03:00:15.845649","c9a22fa4-1721-4eef-a1a6-620cdf7d377f","4",-1
43486,"46358869-dce9-4a01-bfba-ac24fc56f57e",3,"2021-07-23 11:29:47.671081","2021-07-30 20:00:16.540657","266abcc0-8abc-4570-b32e-e5668e5d38f3","1",-1
43189,"d9f89a8a-c563-493e-9d64-78e4f9a55d4a",3,"2021-07-21 17:24:40.542277","2021-07-23 12:24:35.466627","9f85676a-7411-444a-8ae2-c7f8f73c285c","0",-1
43131,"d9f89a8a-c563-493e-9d64-78e4f9a55d4a",4,"2021-07-21 08:33:38.952042","2021-07-23 12:24:35.466627","1f930140-9fc6-4240-9ef6-e7ac065eaefb","4",-1
43489,"d9f89a8a-c563-493e-9d64-78e4f9a55d4a",4,"2021-07-23 12:24:35.466627",NULL,"9f85676a-7411-444a-8ae2-c7f8f73c285c","4",-1
